system,query_id,instrument,latency_seconds,source,top_k
B5_agentic,q_caixa_tamboril_en,caixa-tamboril,89.555646,trace_span,
B5_agentic,q_caixa_tamboril_es,caixa-tamboril,27.629789,trace_span,
B5_agentic,q_castanholas_pt,castanholas,195.498465,trace_span,
B5_agentic,q_castanholas_en,castanholas,118.915746,trace_span,
B5_agentic,q_castanholas_es,castanholas,80.547447,trace_span,
B5_agentic,q_cavaquinho_pt,cavaquinho,125.918943,trace_span,
B5_agentic,q_cavaquinho_en,cavaquinho,54.306856,trace_span,
B5_agentic,q_cavaquinho_es,cavaquinho,34.039632,trace_span,
B5_agentic,q_concertina_pt,concertina,24.670280,trace_span,
B5_agentic,q_concertina_en,concertina,16.707916,trace_span,
B5_agentic,q_concertina_es,concertina,19.476040,trace_span,
B5_agentic,q_ferrinhos_triangulo_pt,ferrinhos-triangulo,20.055073,trace_span,
B5_agentic,q_ferrinhos_triangulo_en,ferrinhos-triangulo,15.352583,trace_span,
B5_agentic,q_ferrinhos_triangulo_es,ferrinhos-triangulo,27.812648,trace_span,
B5_agentic,q_flauta_pt,flauta,86.781842,trace_span,
B5_agentic,q_flauta_en,flauta,48.608326,trace_span,
B5_agentic,q_flauta_es,flauta,20.422358,trace_span,
B5_agentic,q_gaita_de_foles_pt,gaita-de-foles,40.229310,trace_span,
B5_agentic,q_gaita_de_foles_en,gaita-de-foles,73.573170,trace_span,
B5_agentic,q_gaita_de_foles_es,gaita-de-foles,30.819731,trace_span,
B5_agentic,q_guitarra_portuguesa_pt,guitarra-portuguesa,52.150116,trace_span,
B5_agentic,q_guitarra_portuguesa_en,guitarra-portuguesa,28.406369,trace_span,
B5_agentic,q_guitarra_portuguesa_es,guitarra-portuguesa,22.716082,trace_span,
B5_agentic,q_matracas_pt,matracas,116.506401,trace_span,
B5_agentic,q_matracas_en,matracas,82.696646,trace_span,
B5_agentic,q_matracas_es,matracas,42.734400,trace_span,
B5_agentic,q_palheta_pt,palheta,70.384525,trace_span,
B5_agentic,q_palheta_en,palheta,73.940938,trace_span,
B5_agentic,q_palheta_es,palheta,29.264775,trace_span,
B5_agentic,q_rabeca_chuleira_pt,rabeca-chuleira,118.948047,trace_span,
B5_agentic,q_rabeca_chuleira_en,rabeca-chuleira,53.540406,trace_span,
B5_agentic,q_rabeca_chuleira_es,rabeca-chuleira,64.045852,trace_span,
B5_agentic,q_reque_reque_pt,reque-reque,103.663013,trace_span,
B5_agentic,q_reque_reque_en,reque-reque,78.692341,trace_span,
B5_agentic,q_reque_reque_es,reque-reque,47.797483,trace_span,
B5_agentic,q_sarronca_pt,sarronca,68.847550,trace_span,
B5_agentic,q_sarronca_en,sarronca,45.543439,trace_span,
B5_agentic,q_sarronca_es,sarronca,26.208216,trace_span,
B5_agentic,q_viola_amarantina_pt,viola-amarantina,13.285290,trace_span,
B5_agentic,q_viola_amarantina_en,viola-amarantina,14.179799,trace_span,
B5_agentic,q_viola_amarantina_es,viola-amarantina,8.402162,trace_span,
B5_agentic,q_viola_beiroa_pt,viola-beiroa,20.762553,trace_span,
B5_agentic,q_viola_beiroa_en,viola-beiroa,21.923844,trace_span,
B5_agentic,q_viola_beiroa_es,viola-beiroa,11.881368,trace_span,
B5_agentic,q_viola_braguesa_pt,viola-braguesa,12.614722,trace_span,
B5_agentic,q_viola_braguesa_en,viola-braguesa,8.354058,trace_span,
B5_agentic,q_viola_braguesa_es,viola-braguesa,8.026744,trace_span,
B5_agentic,q_viola_campanica_pt,viola-campanica,38.822493,trace_span,
B5_agentic,q_viola_campanica_en,viola-campanica,18.137728,trace_span,
B5_agentic,q_viola_campanica_es,viola-campanica,19.241789,trace_span,
B5_agentic,q_viola_de_arame_pt,viola-de-arame,14.309686,trace_span,
B5_agentic,q_viola_de_arame_en,viola-de-arame,8.206195,trace_span,
B5_agentic,q_viola_de_arame_es,viola-de-arame,8.222185,trace_span,
B5_agentic,q_viola_toeira_pt,viola-toeira,14.181300,trace_span,
B5_agentic,q_viola_toeira_en,viola-toeira,14.325460,trace_span,
B5_agentic,q_viola_toeira_es,viola-toeira,9.944034,trace_span,
B5_agentic,q_violao_pt,violao,30.088724,trace_span,
B5_agentic,q_violao_en,violao,22.285677,trace_span,
B5_agentic,q_violao_es,violao,11.940711,trace_span,
